Reference Number,Stimulus,Exam,Question Pool,Tags,Option 1,Option 2,Option 3,Option 4,Correct Answer,ImageFileName,TagsToSyllabus,Section,Topic,Tag
2025-Full439,"The licensee may, in any operations conducted under the licence",2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1C_1,have direct or indirect commerical interest in those operations,have no commercial interest in those operations,conduct business in those operations,have only indirect commercial interest in those operations,B,,1C1,Licensing conditions and station identification ,Messages,AAR_1
2025-Full6007,You are helping at a field first aid post tent run by St John Ambulance when a paramedic asks you to send a message relating to a particular patient. It is clear that some details are deliberately obscured. You should,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1C_1,pass the message omitting the obscured parts.,ask for the obscured details to be clarified.,decline to send the message because its meaning is obscured.,pass the message exactly as written.,D,,1C1,Licensing conditions and station identification ,Messages,AAR_1
2025-Full6008,"Under what circumstances, if any, is it permissible to send a message the meaning of which has been obscured?",2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1C_1,When a member of a User Service specifically asks you to.,When you can see that the name of a casualty would otherwise be overheard.,Only when you are on a previously arranged exercise conducted by a User Service.,"When, having read the message, you consider it diplomatic or sensible to do so.",A,,1C1,Licensing conditions and station identification ,Messages,AAR_1
2025-Full6009,Which one of the following messages is subject to licence restrictions?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1C_1,A message sent in a language not normally heard in your location.,A message which includes several Q-codes.,A message designed to make its meaning unintelligible.,A message which is a sound recording in Morse code.,C,,1C1,Licensing conditions and station identification ,Messages,AAR_1
2025-Full7651,Which one of the circumstances listed would allow you to pass an encrypted message on behalf of another person?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1C_1,The message contains the name and address of a casualty.,The message has been given to you by a member of a User Service.,The message contains particularly unpleasant details of injuries.,The message has been given to you by the casualty in person.,B,,1C1,Licensing conditions and station identification ,Messages,AAR_1
2025-Full8111,What is the difference between using codes and encrypting a message?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1C_1,"No actual difference, just normal usage of the English language.",Codes use private pre-agreed meanings of symbols or words but encryption does not.,"Codes are for use between people, encryption is for machine to machine communication.","A code is a tool to enhance communication, encryption is intended to obscure it.",D,,1C1,Licensing conditions and station identification ,Messages,AAR_1
2025-Full8112,What are the occasions where use of encryption is in accordance with the licence terms?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1C_1,Personal use of an amateur satellite.,When discussing personally sensitive matters.,Control of an amateur satellite.,When contacting foreign amateurs.,C,,1C1,Licensing conditions and station identification ,Messages,AAR_1
2025-Full8109,"A point to bear in mind, when contacting overseas amateurs, is that",2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1C_1,the call may be overheard by several local amateurs.,their cultural norms and sensitivities may be different to yours.,upper sideband is always used for contacts outside the United Kingdom.,there is a greater risk of frequency instability via the ionosphere.,B,,1C1,Licensing conditions and station identification ,Messages,AAR_2
2025-Full8110,How should you behave on-air considering that amateurs will have diverse cultural norms and sensitivities?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1C_1,Amateur operators worldwide recognise potential cultural differences and are unlikely to take offence at what you say.,All conversations should be strictly limited to technical topics related to amateur radio.,You must adhere to licensing rules that prohibit discussions involving religion or politics.,You should remain considerate and avoid topics or behaviour that could cause offence.,D,,1C1,Licensing conditions and station identification ,Messages,AAR_2
2025-Full8126,You are on 2m having a conversation with a friend when another radio amateur comes in on the conversation and indicates he finds the subject of your conversation offensive. Do you:-,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1C_1,Ignore the person and carry on the conversation.,Consider if the person has a valid point and change the topic of the conversation.,Indicate it is a free country and you are entitled to talk about any subject on amateur radio.,Tell the person if he is unhappy refer the matter to Ofcom and carry on with the conversation.,B,,1C1,Licensing conditions and station identification ,Messages,AAR_2
2025-Full6010,Testing a home-made VFO shows it is stable to about 1%. What is the most serious problem you are likely to encounter on-air when using it for transmitting on 14.346 MHz upper sideband?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1D_1,The possibility of transmitting out of band.,Interference to non-amateur stations on immediately adjacent bands.,Harmonics of your transmission in the 21 and 28MHz amateur bands.,The need for your distant contact to retune his receiver occasionally.,A,,1D1,Licensing conditions and station identification ,"Apparatus, inspection and closedown",AAR_3
2025-Full75,Your Licence requires that your amateur station MUST NOT cause,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1D_1,any interference to electrical or electro-mechanical devices,any interference to other radio users,undue interference to any electrical equipment,undue interference to other wireless telegraphy,D,,1D1,Licensing conditions and station identification ,"Apparatus, inspection and closedown",AAR_3
2025-Full8081,What is the best reason for avoiding causing Undue Interference to other radio users?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1D_1,It is a specific condition of the licence.,It is simply not the way to behave.,It may affect a user service.,It can inconvenience or disrupt commercial activities.,C,,1D1,Licensing conditions and station identification ,"Apparatus, inspection and closedown",AAR_3
2025-Full8082,Some amateur facilities will receive transmissions in one band and re-transmit them in a different band: so why is it desirable to have the ability to receive on both bands?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1D_1,It is a specific requirement in the Amateur Radio Wireless Telegraphy Licence Conditions Booklet.,"You may also want to hold simplex contacts, transmitting and receiving on the same frequency, in both of the bands concerned.",It is necessary for you to be able to hear the reply from the station you are in contact with.,If you are causing interference it is likely that the interfered station will reply on your transmit frequency.,D,,1D1,Licensing conditions and station identification ,"Apparatus, inspection and closedown",AAR_3
2025-Full8001,An amateur must ensure that possible exposure to electro-magnetic fields from their station is within the ICNIRP guidelines in,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1G_1,areas accessible to the general public.,the amateur's own enclosed garden.,areas accessible to wild animals.,"all areas near the station, accessible or not.",A,,1G1,Licensing conditions and station identification ,Electromagnetic Fields,AAR_4
2025-Full8003,The determination of the safe levels for human exposure to electromagnetic fields were performed on behalf of the,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1G_1,ITU,IARU,ICNIRP,RSGB,C,,1G1,Licensing conditions and station identification ,Electromagnetic Fields,AAR_4
2025-Full8006,What is the area over which the general public need to be protected from electromagnetic fields exceeding the specified limits?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1G_1,The area identified by a compliance check based on the ITU guidelines.,The area identified by a compliance check based on ICNIRP guidelines.,The premises and ground area given by the Main Station Address.,The premises and ground area currently in use by the station.,B,,1G1,Licensing conditions and station identification ,Electromagnetic Fields,AAR_4
